year,student,professor,fund,patent
2016,nan,nan,nan,nan
2017,nan,nan,nan,nan
2018,nan,nan,nan,nan
2019,nan,nan,nan,nan
2020,nan,nan,nan,nan
2021,nan,nan,nan,nan
2022,nan,nan,nan,nan
2023,7212,558,1138187,nan
2024,nan,nan,nan,nan
