year,student,professor,fund,patent
2016,7020,nan,731260,219
2017,6867,nan,690479,242
2018,6752,nan,647433,268
2019,6704,nan,750715,287
2020,nan,nan,603745,292
2021,6675,nan,636909,308
2022,6688,nan,637790,310
2023,6642,411,708630,320
2024,6813,412,678978,nan
