year,student,professor,fund,patent
2016,nan,nan,nan,nan
2017,nan,nan,nan,nan
2018,nan,nan,2448000,85
2019,nan,nan,2503000,75
2020,nan,nan,2402000,106
2021,nan,nan,2626000,101
2022,nan,nan,2621000,60
2023,nan,nan,2498000,nan
2024,10338,1263,2700833,nan
